Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
"Secure company, good work life balance, good culture",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77390356.htm,4.0,"Jun 14, 2023",UX Designer,"Current Employee, more than 1 year","New York, NY",Pros,"Secure company, good work life balance, good culture, lots of room for new opportunities both promotion wise or moving laterally. The benefits are amazing, it's what keeps me at the company. The people are very chill, really easy to get along with mostly everyone.",Cons,Base pay lower than industry standard.. UX designers start at $70k-$90k. No quarterly bonuses. I'm not currently making enough to get out of debt ironically.,2
The best career and company in the U.S,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77988498.htm,5.0,"Jul 5, 2023",Retirement Brokerage Services,"Current Employee, more than 1 year","Westlake, TX",Pros,"Benefits, Location, Honesty + Integrity in the financial industry, Leadership, promotion and cultivation from within the company, respect company wide, and inclusiveness, charging stations for electric vehicles",Cons,The walk from the parking garage to the building!!,
Great benefits,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79039282.htm,5.0,"Aug 10, 2023",Financial Associate II,"Current Employee, more than 1 year","Jacksonville, FL",Pros,Benefits are very good for my family,Cons,Call center life is draining,
"Great company on paper, but lacking in action",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78256722.htm,3.0,"Jul 14, 2023",Customer Relationship Advocate,Former Employee,"Durham, NC",Pros,The company offers great benefits and has a pretty nice campus.,Cons,The training here is subpar. My manager was difficult to get in touch with and the HR was incompetent. They say they offer endless support but their actions tell another story.,2
I wouldn’t recommend,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77426190.htm,1.0,"Jun 15, 2023",Senior Software Engineer,"Current Employee, more than 10 years",,Pros,"Good Benefits. Culture is alright. It’s just the in office culture doesn’t fit everyone. Honestly, if they fixed the culture, I’m sure more people would enjoy working there. But it’s hard to keep an old school mindset with progressing world.",Cons,Work from Home isn’t really work from home. It feels a bit forced and because of the culture associates don’t really feel empowered to speak up against it. The pay isn’t competitive. Vertical movement is really more like winning people over vs can the job get done.,3
Great team,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78444597.htm,5.0,"Jul 20, 2023",Workplace Planning Consultant I,"Current Employee, more than 1 year","Saint Louis, MO",Pros,The structure of the Workplace Planning and Advice team is very thought out. Bonus potential is very good and very good benefits. Remote position,Cons,Base pay is not the best. Tough to find next role in remote space as it is still new.,
Help 401k participants plan for retirement.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78384422.htm,5.0,"Jul 19, 2023",Workplace Planning Consultant II,"Current Employee, more than 3 years","Jacksonville, FL",Pros,Supportive friendly management. Encourages growth and career development.,Cons,Little to no opportunity to meaningfully increase earnings in the company. Better paying jobs seem almost impossible to get.,
I love Fidelity,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78977124.htm,5.0,"Aug 8, 2023",High Net Worth Service Associate,Current Employee,"Washington, DC",Pros,They want to help both employees and clients grow,Cons,None so far and I don't foresee any,
"Great Benefits, Less Flexible Than Before",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76710973.htm,4.0,"May 23, 2023",Proposal Consultant,"Current Employee, more than 5 years","Merrimack, NH",Pros,"Amazing benefits, they match 401k contributions up to 7%, tuition reimbursement helped me be free of student debt and acquire my MBA. I’ve always had great managers too",Cons,"Dynamic Working is uncertain and not flexible. Doesn’t work for everyone. I moved during the pandemic and now they make me fly in on my own dime every month to attend the in office week. My managers have no problem with me working remotely full time but they have no say on the situation. When they tried to fight for me to get an exception, it was shut down.",
Good first Job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79036051.htm,5.0,"Aug 10, 2023",Fund Accountant,Current Employee,,Pros,"Great benefits, food culture, shared of the company",Cons,The pay could be better,
mid,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78125434.htm,4.0,"Jul 10, 2023",CRA I,"Former Employee, more than 1 year","Covington, KY",Pros,good place to start but very high attrition,Cons,Felt like working at the modern equivalent of office space. People seemed to love working there but no one loved what they did.,3
Shady communication practices by senior leadership hurting employee morale,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71720377.htm,2.0,"Dec 8, 2022",Senior Software Engineer,"Current Employee, more than 3 years","Durham, NC",Pros,"It's a job that pays, not much monthly, but if you can keep your sanity until the end of the year, you have a chance of getting paid your market rate for your position with the annual bonus if you stay until the end of the year.",Cons,"Working at Fidelity was tolerable while fully remote. Then ""dynamic"" working started, where they forced employees to come to the office for 3 days a month, in the same week that they scheduled. Then a day or two after they closed the employee satisfaction survey, they announced that they were increasing that significantly starting in January. Suspicious timing to say the least. Why the need to go to the office? Remote working increased employee productivity. There is no need for all positions to be in the office. Yes, they have an exception process, but those approvals are far and few between, and do not cover all employee issues. I have a strong suspicion that come the new year, there will be a mass exodus.",9
"Good company, but feel like just a number",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76749770.htm,4.0,"May 24, 2023",Service Support Specialist,"Current Employee, more than 1 year",,Pros,"Amazing benefits and culture within the regional center, they provide a lot of opportunities to network - mentoring, employee resource groups, events, etc. I've had really amazing managers while at Fidelity, the best I've ever had",Cons,"Glorified call center, you're just a number and the needs of the business always come first. I don't like that you're required to bid for PTO during some of the peak times. I feel like if you're on the call center side it is nearly impossible to break out of that",1
Great company and culture,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78586463.htm,5.0,"Jul 26, 2023",High Net Worth Service Associate,Current Employee,,Pros,"Benefits, flexibility, and culture make fidelity a great place to work",Cons,Mobility can be tricky if you don’t put in the time,
Overall great company to work for,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77767533.htm,4.0,"Jun 27, 2023",Associate Accountant,"Current Employee, more than 1 year","Boston, MA",Pros,Great benefits. Good yearly bonuses. Great offices and amenities. Always room to grow and move horizontally in the company,Cons,"Pay could be better, but benefits balance it out. “Old school” atmosphere but getting better.",
Pay is not worth the role,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78328212.htm,3.0,"Jul 17, 2023",Financial Customer Associate,"Current Employee, more than 1 year",,Pros,"Easy role, decent work life balance. Management is solid",Cons,The people you work with on the phones are often rude or dumb. The stats that are directly connected to incentives and bonuses are often uncontrollable,1
